S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
254,base_footprint,36,0.019193965015004,-0.0061139346365,2.43364810555001,0.16574449496877,-2.495892675939,0.003799488266308
255,-,-,-,-,-,0.170702877664007,-2.49585500273713,0.003800442171686
256,-,-,-,-,-,0.175662177405724,-2.49581731908951,0.003800245997826
257,-,-,-,-,-,0.180770727956515,-2.49577852344897,0.003799328634692
258,base_footprint,36,0.017911736826026,-0.006227040119384,2.42410004134208,0.180770727956515,-2.49577852344897,0.003799328634692
259,-,-,-,-,-,0.185726994134416,-2.49574091642867,0.003798711023663
260,base_footprint,36,0.017911736826026,-0.006227040119384,2.42410004134208,0.185726994134416,-2.49574091642867,0.003798711023663
261,-,-,-,-,-,0.190681137193008,-2.49570337276592,0.003801915861922
262,base_footprint,36,0.018523341758494,-0.006263811585751,2.41179060003286,0.190681137193008,-2.49570337276592,0.003801915861922
263,base_footprint,36,0.018523341758494,-0.006263811585751,2.41179060003286,0.195784476989101,-2.495664824425,0.003845060461482
264,base_footprint,36,0.018523341758494,-0.006263811585751,2.41179060003286,0.195784476989101,-2.495664824425,0.003845060461482
265,-,-,-,-,-,0.20070660214823,-2.49562611493303,0.003961609188974
266,-,-,-,-,-,0.205621683199295,-2.49558643030581,0.00405034746922
267,base_footprint,36,0.02036687871481,-0.005554603289458,2.40699475663469,0.205621683199295,-2.49558643030581,0.00405034746922
268,base_footprint,36,0.02036687871481,-0.005554603289458,2.40699475663469,0.210716027072801,-2.49554523605517,0.004047986602315
269,base_footprint,36,0.02036687871481,-0.005554603289458,2.40699475663469,0.210716027072801,-2.49554523605517,0.004047986602315
270,-,-,-,-,-,0.215657006849849,-2.49550524190009,0.004051155560256
271,-,-,-,-,-,0.220597637203969,-2.49546520271961,0.004055662310179
272,base_footprint,36,0.01844530806488,-0.006488958277726,2.38502505719561,0.220597637203969,-2.49546520271961,0.004055662310179
273,base_footprint,36,0.018896608997399,-0.005455812928871,2.3678837882084,0.220597637203969,-2.49546520271961,0.004055662310179
274,base_footprint,36,0.018896608997399,-0.005455812928871,2.3678837882084,0.225689143498562,-2.49542389118173,0.004060200031438
275,base_footprint,36,0.019569819261197,-0.005103665507286,2.36097997500871,0.225689143498562,-2.49542389118173,0.004060200031438
276,-,-,-,-,-,0.230632376107352,-2.49538373306757,0.00406423026005
277,-,-,-,-,-,0.235577258770459,-2.49534352010862,0.004067745004309
278,base_footprint,36,0.020000000309949,-0.00545454554813,2.36363639880729,0.235577258770459,-2.49534352010862,0.004067745004309
279,-,-,-,-,-,0.240673823381458,-2.49530203776324,0.004070786122028
280,base_footprint,36,0.020000000309949,-0.00545454554813,2.36363639880729,0.240673823381458,-2.49530203776324,0.004070786122028
281,-,-,-,-,-,0.245622340717144,-2.49526173292625,0.004073175375176
282,base_footprint,36,0.020000000309949,-0.00545454554813,2.36363639880729,0.245622340717144,-2.49526173292625,0.004073175375176
283,base_footprint,36,0.020000000309949,-0.00545454554813,2.36363639880729,0.250572648168058,-2.49522139270361,0.004075210626033
284,-,-,-,-,-,0.255674475157372,-2.49517979317395,0.004078373198339
285,base_footprint,36,0.020866773271965,-0.006035806168837,2.33710108605928,0.255674475157372,-2.49517979317395,0.004078373198339
